year,region,total,detained,nc,dc,rc,nn,dn,rn,total_year,detained_year,pct_criminal_detained,pct_noncriminal_detained,pct_detained,pct_all_proceedings,pct_all_detained
2003,AFRICA,12871.0,2811.0,200.0,671.0,115.0,9860.0,1053.0,972.0,193183.0,104285.0,0.7971602434077079,0.17038283550694153,0.2183979488773211,0.06662594534715788,0.026954979143692766
2003,CARIBBEAN,14408.0,7631.0,1025.0,4002.0,234.0,5752.0,1552.0,1843.0,193183.0,104285.0,0.8051701197490971,0.3711599431507598,0.5296363131593559,0.07458213196813385,0.07317447379776573
2003,CENTRAL AMERICA,102541.0,73319.0,1362.0,16611.0,1206.0,27860.0,45172.0,10330.0,193183.0,104285.0,0.9289848271547004,0.6657949665315132,0.7150213085497509,0.530797223358163,0.7030637196145179
2003,SOUTH AMERICA,18827.0,8505.0,324.0,1338.0,102.0,9998.0,4387.0,2678.0,193183.0,104285.0,0.8163265306122449,0.4140538006212272,0.45174483454613057,0.09745681555830482,0.08155535311885698
2003,NORTH AMERICA,1092.0,491.0,279.0,290.0,20.0,322.0,145.0,36.0,193183.0,104285.0,0.5263157894736842,0.35984095427435386,0.44963369963369965,0.00565267130130498,0.004708251426379633
2003,ASIA,35174.0,8690.0,791.0,2182.0,398.0,25693.0,2463.0,3647.0,193183.0,104285.0,0.7653515277365767,0.19212024022890922,0.24705748564280433,0.18207606259349943,0.08332933787217721
2003,EUROPE,7123.0,2425.0,386.0,822.0,148.0,4312.0,751.0,704.0,193183.0,104285.0,0.7153392330383481,0.25229755505462115,0.3404464411062754,0.0368717744314976,0.023253583928657045
2003,OCEANIA,809.0,245.0,41.0,125.0,32.0,523.0,60.0,28.0,193183.0,104285.0,0.7929292929292929,0.14402618657937807,0.30284301606922126,0.004187739086772646,0.0023493311598024643
2003,OTHERS,338.0,168.0,2.0,12.0,5.0,168.0,140.0,11.0,193183.0,104285.0,0.8947368421052632,0.47335423197492166,0.4970414201183432,0.0017496363551658272,0.0016109699381502613
2004,AFRICA,10704.0,2401.0,192.0,676.0,100.0,8111.0,898.0,727.0,200118.0,98300.0,0.8016528925619835,0.1669063270336894,0.2243086696562033,0.0534884418193266,0.024425228891149543
2004,CARIBBEAN,17314.0,7839.0,1060.0,4128.0,226.0,8415.0,1440.0,2045.0,200118.0,98300.0,0.8042113040265977,0.29285714285714287,0.452754995957029,0.08651895381724782,0.07974567650050865
2004,CENTRAL AMERICA,120743.0,70003.0,1738.0,15869.0,1008.0,49002.0,43369.0,9757.0,200118.0,98300.0,0.9066344345957561,0.5201903493655021,0.5797685994219126,0.6033590181792742,0.7121363173957274
2004,SOUTH AMERICA,21543.0,7641.0,331.0,1466.0,84.0,13571.0,4180.0,1911.0,200118.0,98300.0,0.8240297713981924,0.3097853728003255,0.35468597688344244,0.10765148562348215,0.07773143438453713
2004,NORTH AMERICA,1003.0,463.0,252.0,278.0,17.0,288.0,151.0,17.0,200118.0,98300.0,0.5393053016453382,0.3684210526315789,0.46161515453639085,0.0050120428946921316,0.004710071210579858
2004,ASIA,21657.0,7608.0,817.0,2031.0,237.0,13232.0,1846.0,3494.0,200118.0,98300.0,0.7351701782820097,0.2875296144734008,0.351295193240061,0.10822114952178215,0.07739572736520854
2004,EUROPE,6303.0,1989.0,394.0,774.0,96.0,3920.0,569.0,550.0,200118.0,98300.0,0.6882911392405063,0.22206787060924787,0.3155640171346978,0.031496417113902796,0.020233977619532044
2004,OCEANIA,515.0,192.0,47.0,124.0,20.0,276.0,24.0,24.0,200118.0,98300.0,0.7539267015706806,0.14814814814814814,0.37281553398058254,0.002573481645828961,0.0019532044760935913
2004,OTHERS,336.0,164.0,1.0,16.0,4.0,171.0,129.0,15.0,200118.0,98300.0,0.9523809523809523,0.45714285714285713,0.4880952380952381,0.0016790093844631668,0.0016683621566632757
2005,AFRICA,8813.0,1970.0,163.0,657.0,92.0,6680.0,631.0,590.0,268065.0,106363.0,0.8212719298245614,0.15453740032907226,0.2235334165437422,0.03287635461548505,0.018521478333631054
2005,CARIBBEAN,16941.0,7297.0,1027.0,4211.0,229.0,8617.0,1335.0,1522.0,268065.0,106363.0,0.8121456008779953,0.2489977340073209,0.43073018121716544,0.06319735884953276,0.06860468395964762
2005,CENTRAL AMERICA,178755.0,82789.0,1731.0,17836.0,825.0,94235.0,54090.0,10038.0,268065.0,106363.0,0.9151137701059239,0.4049430738240624,0.4631422897261615,0.6668345363997538,0.7783627765294322
2005,SOUTH AMERICA,36190.0,5301.0,281.0,1570.0,91.0,30608.0,2286.0,1354.0,268065.0,106363.0,0.8553038105046344,0.1062835786031301,0.14647692732799117,0.13500456978717848,0.04983875971907524
2005,NORTH AMERICA,1087.0,495.0,332.0,291.0,16.0,260.0,164.0,24.0,268065.0,106363.0,0.48043818466353677,0.41964285714285715,0.45538178472861085,0.004054986663682316,0.0046538739975367375
2005,ASIA,20434.0,6512.0,720.0,1857.0,203.0,13202.0,1615.0,2837.0,268065.0,106363.0,0.7410071942446043,0.2521808088818398,0.3186845453655672,0.07622778057560667,0.06122429792314997
2005,EUROPE,5160.0,1661.0,347.0,791.0,76.0,3152.0,446.0,348.0,268065.0,106363.0,0.714168039538715,0.20121642169285353,0.32189922480620153,0.019249062727323598,0.015616332747289942
2005,OCEANIA,294.0,154.0,28.0,95.0,9.0,112.0,27.0,23.0,268065.0,106363.0,0.7878787878787878,0.30864197530864196,0.5238095238095238,0.0010967489228358794,0.0014478719103447628
2005,OTHERS,391.0,184.0,6.0,11.0,3.0,201.0,152.0,18.0,268065.0,106363.0,0.7,0.4582210242587601,0.47058823529411764,0.0014586014586014586,0.0017299248798924437
2006,AFRICA,9043.0,2174.0,195.0,659.0,71.0,6674.0,699.0,745.0,247715.0,115316.0,0.7891891891891892,0.17787632421778762,0.24040694459803164,0.03650566174838019,0.01885254431301814
2006,CARIBBEAN,18729.0,6497.0,1258.0,3735.0,243.0,10974.0,1306.0,1213.0,247715.0,115316.0,0.7597402597402597,0.18668939450085228,0.34689518927865876,0.07560704842258241,0.056340837351278227
2006,CENTRAL AMERICA,178402.0,93462.0,1854.0,16586.0,996.0,83086.0,61425.0,14455.0,247715.0,115316.0,0.9046100020580367,0.4773347759898343,0.5238842613872042,0.7201905415497648,0.8104859689895592
2006,SOUTH AMERICA,14200.0,4076.0,347.0,1286.0,93.0,9777.0,1487.0,1210.0,247715.0,115316.0,0.7989571263035922,0.2162097162097162,0.2870422535211268,0.05732394081908645,0.03534635263103125
2006,NORTH AMERICA,968.0,408.0,279.0,260.0,20.0,281.0,99.0,29.0,247715.0,115316.0,0.5008944543828264,0.31295843520782396,0.4214876033057851,0.003907716529075752,0.0035381039925075444
